scan_id,organs_in_report,lost_by_threshold,retained_by_threshold
train_9802_a,"['heart', 'esophagus', 'trachea', 'lung']",[],"['heart', 'esophagus', 'trachea', 'lung']"
train_8631_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_7940_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_6364_a,"['esophagus', 'liver', 'kidney', 'aorta', 'lung']",[],"['esophagus', 'liver', 'kidney', 'aorta', 'lung']"
train_2683_a,"['liver', 'trachea', 'lung']",[],"['liver', 'trachea', 'lung']"
train_19266_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_8393_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_4535_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_13731_a,"['esophagus', 'liver', 'trachea', 'autochthon', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'autochthon', 'aorta', 'heart', 'lung']"
train_8527_a,"['trachea', 'esophagus', 'heart', 'lung']",[],"['trachea', 'esophagus', 'heart', 'lung']"
train_6068_a,"['esophagus', 'heart', 'lung', 'aorta']",[],"['esophagus', 'heart', 'lung', 'aorta']"
train_9528_a,"['trachea', 'esophagus', 'heart', 'lung']",[],"['trachea', 'esophagus', 'heart', 'lung']"
train_9978_a,"['heart', 'esophagus', 'trachea', 'lung']",[],"['heart', 'esophagus', 'trachea', 'lung']"
train_19122_a,"['liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['liver', 'trachea', 'aorta', 'heart', 'lung']"
train_19169_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_3047_a,"['esophagus', 'liver', 'trachea', 'aorta', 'gallbladder', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'gallbladder', 'heart', 'lung']"
train_11544_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_6244_a,"['esophagus', 'spleen', 'liver', 'heart', 'lung']",[],"['esophagus', 'spleen', 'liver', 'heart', 'lung']"
train_11580_a,"['esophagus', 'spleen', 'liver', 'trachea', 'kidney', 'gallbladder', 'pancreas', 'heart', 'lung']",[],"['esophagus', 'spleen', 'liver', 'trachea', 'kidney', 'gallbladder', 'pancreas', 'heart', 'lung']"
train_13706_a,"['heart', 'lung']",[],"['heart', 'lung']"
train_5469_a,"['rib', 'esophagus', 'liver', 'trachea', 'kidney', 'aorta', 'clavicula', 'heart', 'lung']",['clavicula'],"['rib', 'esophagus', 'liver', 'trachea', 'kidney', 'aorta', 'heart', 'lung']"
train_5469_b,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_19393_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_4258_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_13395_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_10142_a,"['esophagus', 'trachea', 'aorta', 'heart', 'lung', 'stomach']",[],"['esophagus', 'trachea', 'aorta', 'heart', 'lung', 'stomach']"
train_3147_a,"['esophagus', 'spleen', 'trachea', 'pancreas', 'heart', 'lung']",[],"['esophagus', 'spleen', 'trachea', 'pancreas', 'heart', 'lung']"
train_7369_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_5081_a,"['esophagus', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'trachea', 'aorta', 'heart', 'lung']"
train_9221_a,"['esophagus', 'spleen', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'spleen', 'liver', 'trachea', 'heart', 'lung']"
train_10878_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_516_a,"['esophagus', 'trachea', 'heart']",[],"['esophagus', 'trachea', 'heart']"
train_14808_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_2906_a,"['esophagus', 'trachea', 'lung']",[],"['esophagus', 'trachea', 'lung']"
train_19316_a,"['esophagus', 'liver', 'trachea', 'kidney', 'aorta', 'gallbladder', 'heart', 'lung']","['kidney', 'gallbladder']","['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_6805_d,"['esophagus', 'liver', 'trachea', 'aorta', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'lung']"
train_6805_a,"['esophagus', 'trachea', 'kidney', 'aorta', 'gallbladder', 'heart', 'lung', 'stomach']",[],"['esophagus', 'trachea', 'kidney', 'aorta', 'gallbladder', 'heart', 'lung', 'stomach']"
train_6805_c,"['heart', 'trachea', 'lung', 'aorta']",[],"['heart', 'trachea', 'lung', 'aorta']"
train_6805_b,"['esophagus', 'trachea', 'aorta', 'gallbladder', 'heart', 'lung']",[],"['esophagus', 'trachea', 'aorta', 'gallbladder', 'heart', 'lung']"
train_2998_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_7905_a,"['liver', 'lung', 'gallbladder']",[],"['liver', 'lung', 'gallbladder']"
train_8983_a,"['heart', 'esophagus', 'trachea', 'lung']",[],"['heart', 'esophagus', 'trachea', 'lung']"
train_7348_a,"['esophagus', 'spleen', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'spleen', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_7793_a,"['esophagus', 'spleen', 'kidney', 'aorta', 'lung']",[],"['esophagus', 'spleen', 'kidney', 'aorta', 'lung']"
train_14450_a,"['heart', 'trachea', 'lung']",[],"['heart', 'trachea', 'lung']"
train_6772_a,"['heart', 'trachea', 'lung']",[],"['heart', 'trachea', 'lung']"
train_10654_a,"['liver', 'esophagus', 'trachea', 'lung']",[],"['liver', 'esophagus', 'trachea', 'lung']"
train_13461_a,"['heart', 'esophagus', 'trachea', 'lung']",[],"['heart', 'esophagus', 'trachea', 'lung']"
train_11561_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_8686_a,"['heart', 'trachea', 'lung']",[],"['heart', 'trachea', 'lung']"
train_35_a,"['esophagus', 'liver', 'trachea', 'kidney', 'gallbladder', 'pancreas', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'kidney', 'gallbladder', 'pancreas', 'heart', 'lung']"
train_2767_a,"['esophagus', 'liver', 'trachea', 'aorta', 'gallbladder', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'gallbladder', 'heart', 'lung']"
train_8187_a,"['heart', 'esophagus', 'trachea', 'lung']",[],"['heart', 'esophagus', 'trachea', 'lung']"
train_12967_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_16407_b,"['esophagus', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'trachea', 'aorta', 'heart', 'lung']"
train_16407_a,"['esophagus', 'spleen', 'liver', 'trachea', 'kidney', 'aorta', 'gallbladder', 'pancreas', 'heart', 'lung']",[],"['esophagus', 'spleen', 'liver', 'trachea', 'kidney', 'aorta', 'gallbladder', 'pancreas', 'heart', 'lung']"
train_8844_a,"['esophagus', 'spleen', 'trachea', 'kidney', 'aorta', 'heart', 'lung']",[],"['esophagus', 'spleen', 'trachea', 'kidney', 'aorta', 'heart', 'lung']"
train_14404_a,"['esophagus', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'trachea', 'aorta', 'heart', 'lung']"
train_2954_a,"['esophagus', 'trachea', 'kidney', 'aorta', 'gallbladder', 'lung']",[],"['esophagus', 'trachea', 'kidney', 'aorta', 'gallbladder', 'lung']"
train_13408_a,"['rib', 'esophagus', 'spleen', 'liver', 'trachea', 'kidney', 'gallbladder', 'pancreas', 'heart', 'lung']",[],"['rib', 'esophagus', 'spleen', 'liver', 'trachea', 'kidney', 'gallbladder', 'pancreas', 'heart', 'lung']"
train_495_a,"['heart', 'esophagus', 'trachea', 'lung']",[],"['heart', 'esophagus', 'trachea', 'lung']"
train_12557_a,"['esophagus', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'trachea', 'aorta', 'heart', 'lung']"
train_1723_a,"['esophagus', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'trachea', 'aorta', 'heart', 'lung']"
train_11055_a,"['esophagus', 'trachea', 'kidney', 'heart', 'lung']",[],"['esophagus', 'trachea', 'kidney', 'heart', 'lung']"
train_5980_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_10118_a,"['esophagus', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'trachea', 'aorta', 'heart', 'lung']"
train_16987_a,"['heart', 'trachea', 'lung']",[],"['heart', 'trachea', 'lung']"
train_5636_a,[],[],[]
train_11549_a,"['liver', 'esophagus', 'lung', 'aorta']",[],"['liver', 'esophagus', 'lung', 'aorta']"
train_6682_a,"['esophagus', 'trachea', 'gallbladder', 'heart', 'lung']",[],"['esophagus', 'trachea', 'gallbladder', 'heart', 'lung']"
train_10725_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_10668_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_12230_a,"['esophagus', 'kidney', 'aorta', 'heart', 'lung']",[],"['esophagus', 'kidney', 'aorta', 'heart', 'lung']"
train_7556_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_18372_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_6703_a,"['esophagus', 'liver', 'trachea', 'kidney', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'kidney', 'aorta', 'heart', 'lung']"
train_9814_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_1814_a,"['heart', 'esophagus', 'trachea', 'lung']",[],"['heart', 'esophagus', 'trachea', 'lung']"
train_1814_b,"['liver', 'esophagus', 'lung']",[],"['liver', 'esophagus', 'lung']"
train_9207_a,"['esophagus', 'liver', 'trachea', 'kidney', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'kidney', 'heart', 'lung']"
train_19496_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_12842_a,"['heart', 'esophagus', 'trachea', 'lung']",[],"['heart', 'esophagus', 'trachea', 'lung']"
train_5188_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_9958_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_14866_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_6577_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_15398_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_13755_a,"['rib', 'esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['rib', 'esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_15317_a,"['colon', 'lung', 'esophagus']",[],"['colon', 'lung', 'esophagus']"
train_11627_a,"['heart', 'trachea', 'lung']",[],"['heart', 'trachea', 'lung']"
train_6949_a,"['esophagus', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'trachea', 'aorta', 'heart', 'lung']"
train_14030_a,"['heart', 'lung']",[],"['heart', 'lung']"
train_15177_a,"['esophagus', 'trachea', 'kidney', 'aorta', 'heart', 'lung']",[],"['esophagus', 'trachea', 'kidney', 'aorta', 'heart', 'lung']"
train_10649_a,"['esophagus', 'liver', 'trachea', 'kidney', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'kidney', 'aorta', 'heart', 'lung']"
train_12425_c,"['esophagus', 'trachea', 'aorta', 'gallbladder', 'heart', 'lung']",[],"['esophagus', 'trachea', 'aorta', 'gallbladder', 'heart', 'lung']"
train_12425_a,"['esophagus', 'liver', 'trachea', 'aorta', 'gallbladder', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'gallbladder', 'lung']"
train_12425_b,"['esophagus', 'trachea', 'aorta', 'gallbladder', 'heart', 'lung']",[],"['esophagus', 'trachea', 'aorta', 'gallbladder', 'heart', 'lung']"
train_12425_d,"['trachea', 'aorta', 'gallbladder', 'heart', 'lung']",[],"['trachea', 'aorta', 'gallbladder', 'heart', 'lung']"
train_7157_a,"['trachea', 'heart', 'esophagus', 'lung']",[],"['trachea', 'heart', 'esophagus', 'lung']"
train_7285_a,"['esophagus', 'liver', 'trachea', 'aorta', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'lung']"
train_1270_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_1270_b,"['esophagus', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'trachea', 'aorta', 'heart', 'lung']"
train_8552_a,"['esophagus', 'heart', 'lung']",[],"['esophagus', 'heart', 'lung']"
train_19024_b,"['heart', 'trachea', 'lung', 'aorta']",[],"['heart', 'trachea', 'lung', 'aorta']"
train_19024_d,"['trachea', 'lung']",[],"['trachea', 'lung']"
train_19024_c,"['heart', 'trachea', 'lung']",[],"['heart', 'trachea', 'lung']"
train_19024_a,"['liver', 'trachea', 'kidney', 'aorta', 'heart', 'lung']",['kidney'],"['liver', 'trachea', 'aorta', 'heart', 'lung']"
train_15505_a,"['heart', 'trachea', 'lung']",[],"['heart', 'trachea', 'lung']"
train_17425_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_16357_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_3958_a,"['trachea', 'esophagus', 'heart', 'lung']",[],"['trachea', 'esophagus', 'heart', 'lung']"
train_10568_a,"['esophagus', 'heart', 'lung']",[],"['esophagus', 'heart', 'lung']"
train_17887_a,"['esophagus', 'trachea', 'kidney', 'heart', 'lung']",[],"['esophagus', 'trachea', 'kidney', 'heart', 'lung']"
train_17887_b,"['esophagus', 'liver', 'trachea', 'kidney', 'aorta', 'gallbladder', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'kidney', 'aorta', 'gallbladder', 'heart', 'lung']"
train_13350_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_10783_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_11907_a,"['esophagus', 'liver', 'trachea', 'aorta', 'gallbladder', 'heart', 'lung']",['gallbladder'],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_12857_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_4677_a,"['lung', 'stomach']",[],"['lung', 'stomach']"
train_8721_b,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_8721_a,"['esophagus', 'liver', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'aorta', 'heart', 'lung']"
train_15761_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_18684_b,"['esophagus', 'spleen', 'trachea', 'gallbladder', 'heart', 'lung']",[],"['esophagus', 'spleen', 'trachea', 'gallbladder', 'heart', 'lung']"
train_18684_c,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_18684_a,"['esophagus', 'spleen', 'liver', 'trachea', 'aorta', 'gallbladder', 'heart']",[],"['esophagus', 'spleen', 'liver', 'trachea', 'aorta', 'gallbladder', 'heart']"
train_15954_a,"['heart', 'lung']",[],"['heart', 'lung']"
train_4072_a,"['heart', 'trachea', 'lung', 'aorta']",[],"['heart', 'trachea', 'lung', 'aorta']"
train_2489_b,"['liver', 'kidney', 'aorta', 'lung', 'stomach']",[],"['liver', 'kidney', 'aorta', 'lung', 'stomach']"
train_2489_a,"['esophagus', 'trachea', 'aorta', 'heart', 'lung', 'stomach']",[],"['esophagus', 'trachea', 'aorta', 'heart', 'lung', 'stomach']"
train_7621_a,"['liver', 'lung']",[],"['liver', 'lung']"
train_11314_a,"['heart', 'trachea', 'lung']",[],"['heart', 'trachea', 'lung']"
train_7921_a,"['esophagus', 'liver', 'trachea', 'kidney', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'kidney', 'heart', 'lung']"
train_15748_a,"['esophagus', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'trachea', 'aorta', 'heart', 'lung']"
train_6974_a,"['liver', 'esophagus', 'trachea', 'lung']",[],"['liver', 'esophagus', 'trachea', 'lung']"
train_4269_a,"['esophagus', 'spleen', 'liver', 'trachea', 'aorta', 'pancreas', 'heart', 'lung']",[],"['esophagus', 'spleen', 'liver', 'trachea', 'aorta', 'pancreas', 'heart', 'lung']"
train_6908_a,"['rib', 'trachea', 'aorta', 'heart', 'lung']",[],"['rib', 'trachea', 'aorta', 'heart', 'lung']"
train_6908_b,"['rib', 'esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['rib', 'esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_3484_a,"['heart', 'esophagus', 'trachea', 'lung']",[],"['heart', 'esophagus', 'trachea', 'lung']"
train_11012_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_14578_a,"['liver', 'trachea', 'lung', 'kidney']",[],"['liver', 'trachea', 'lung', 'kidney']"
train_18127_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_6029_a,"['esophagus', 'spleen', 'liver', 'trachea', 'humerus', 'heart', 'lung']",[],"['esophagus', 'spleen', 'liver', 'trachea', 'humerus', 'heart', 'lung']"
train_12253_a,"['liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['liver', 'trachea', 'aorta', 'heart', 'lung']"
train_3255_a,"['esophagus', 'liver', 'trachea', 'aorta', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'lung']"
train_16281_a,"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'aorta', 'heart', 'lung']"
train_8470_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_15889_a,"['esophagus', 'liver', 'trachea', 'heart', 'lung']",[],"['esophagus', 'liver', 'trachea', 'heart', 'lung']"
train_12791_a,"['rib', 'heart', 'lung', 'kidney']",[],"['rib', 'heart', 'lung', 'kidney']"
train_12791_b,"['esophagus', 'spleen', 'liver', 'gallbladder', 'heart', 'lung']",[],"['esophagus', 'spleen', 'liver', 'gallbladder', 'heart', 'lung']"
